51	64	0	4832
1	69	0	3812
4	110	0	3456
13	66	0	3914
15	105	0	10994
3	107	0	6293
78	49	0	5493
2	98	0	27421
1	38	10	5183
1	72	0	6216
32	119	0	4570
11	87	1	26045
16	96	0	6460
52	47	0	22491
4	42	0	6729
78	58	0	4678
2	105	0	29957
16	47	0	30112
3	109	0	23755
5	73	0	8481
3	109	0	6265
4	96	0	5893
23	106	0	12354
1	116	0	18605
5	101	0	4540
37	37	8	7849
3	110	0	5360
14	114	0	5776
39	109	0	17841
23	71	0	6179
26	70	0	5872
29	84	0	10321
1	88	0	5666
3	58	0	5083
74	67	3	12588
3	70	0	22443
