5	50	0	8152
297	55	0	4679
69	74	0	4612
24	71	0	5122
36	109	0	19390
4	84	0	23085
344	119	0	24475
16	101	0	6424
471	101	0	19881
4	102	0	11007
72	128	0	5161
261	70	0	5772
17	124	0	4564
40	96	0	6125
74	50	0	15071
1	130	0	5948
436	56	0	5440
4	78	0	11579
26	110	0	4461
44	48	0	6775
10	120	9	4137
9	114	0	5640
37	83	0	8350
55	96	0	16751
42	48	0	11729
58	86	0	12703
4	105	0	13553
19	84	0	4774
4	86	0	5364
2	89	0	29297
41	74	0	15747
4	103	0	22274
3	71	1	5483
74	68	0	5976
27	119	0	4291
22	93	0	4864
39	50	0	4754
58	53	8	5903
