29	103	0	11608
6	109	0	5241
4	41	0	6573
3	40	0	5478
30	87	3	6288
4	45	0	11128
19	102	0	4522
3	88	10	6049
13	43	1	4583
21	49	9	6598
2	110	9	8203
12	98	0	15699
4	78	0	5574
4	97	0	6040
2	55	0	5084
5	94	3	4580
1	88	0	14389
4	37	0	7080
21	100	0	23504
19	94	7	6414
174	80	0	17995
15	37	0	4863
27	107	5	22824
5	51	0	5417
5	95	0	10391
3	33	1	5575
4	90	9	8160
12	54	0	6643
2	66	0	5182
13	108	0	8120
10	78	0	11042
25	38	0	12910
19	48	0	7442
3	87	0	5216
2	55	0	25325
19	93	7	4703
5	56	0	5234
2	32	0	19629
27	71	7	16256
3	54	0	25133
