43	117	0	3707
5	124	0	24896
7	74	0	11527
1	42	10	4495
7	135	5	3781
59	123	0	20683
4	112	4	4473
3	121	4	4975
1	55	0	6781
47	126	5	21331
47	129	10	8929
33	81	0	28070
7	88	3	15254
10	131	1	7861
15	42	0	7021
6	90	3	21596
1	120	0	5731
28	133	0	5620
5	134	9	5048
34	42	0	6054
6	103	0	6442
7	41	0	5160
7	132	0	5230
1	110	9	17672
4	114	6	5733
1	81	3	4638
10	66	0	6235
10	111	5	12856
6	130	7	5865
7	138	0	26948
9	51	0	4948
8	41	3	23481
2	133	10	6146
37	56	9	8562
24	89	6	5154
