64	78	0	26848
69	107	8	5518
4	118	0	4608
64	102	0	5040
2	117	10	5285
10	83	9	5927
56	112	3	14009
270	92	0	5346
1	119	0	6053
33	87	0	8424
28	59	7	5032
46	95	2	7254
67	77	0	6661
3	115	2	5909
1	67	0	5640
48	64	0	5902
43	96	0	24529
36	55	0	6564
12	91	8	8141
43	76	0	18961
5	90	0	24238
4	119	0	16287
1	56	4	4921
7	61	0	5509
33	95	0	6429
2	94	0	17079
3	121	0	6157
48	70	0	24643
2	91	0	6671
4	77	0	4972
54	91	2	5995
4	111	0	27406
62	118	0	7876
39	112	9	5396
25	102	3	25945
33	47	9	18337
