4	95	0	3990
23	105	9	3302
77	107	1	16275
3	70	0	3900
79	108	0	5274
5	52	0	6965
79	124	0	19193
1	62	0	6898
57	87	0	6458
67	99	0	8359
1	78	8	5394
3	68	0	17879
3	128	0	6406
46	116	0	5690
1	93	0	5190
5	121	0	5868
5	97	0	5597
5	82	1	16573
1	58	6	30871
4	84	0	8525
1	92	0	24644
40	125	5	5840
2	61	0	6436
4	65	0	5331
39	107	0	5047
49	85	0	17914
63	59	0	21255
62	91	0	5247
2	79	0	21718
12	85	0	5649
4	87	6	5184
17	63	0	6410
3	97	9	17076
80	124	0	5880
1	117	9	4452
32	68	0	7558
29	121	0	5969
38	108	10	4595
3	114	0	5070
5	119	0	4318
5	111	0	4343
