21	52	2	14602
75	36	10	4989
59	43	10	4866
49	46	8	5195
19	128	0	4660
75	79	0	5375
44	123	0	25045
46	140	6	6388
60	49	0	24456
82	110	0	5521
87	73	3	5435
51	132	0	29488
94	83	0	25082
34	72	6	5374
39	59	2	5520
60	65	8	5510
70	64	9	5235
46	138	3	5624
61	38	10	5698
91	68	4	11657
10	91	5	6145
95	79	0	8170
18	51	8	21332
47	94	9	20690
50	127	4	5958
2	120	0	4727
78	47	4	11313
54	101	0	5199
11	33	0	27037
47	130	0	4191
62	33	0	5762
32	61	7	4557
70	81	0	5589
69	132	2	21448
5	75	9	9421
