331	76	9	4244
27	98	0	4634
1	113	5	12599
27	106	2	3565
14	60	10	5148
327	118	3	10440
9	96	0	5006
34	118	0	3610
221	113	2	3370
16	55	5	3800
16	86	0	5067
242	112	0	17447
9	81	6	9175
6	44	8	6056
25	63	3	5891
24	117	0	6299
358	104	6	4309
28	85	7	14563
16	40	2	4732
18	111	9	6962
26	116	0	5151
24	106	9	5313
9	86	8	20503
3	98	5	17204
379	42	9	5978
16	58	0	8442
19	80	0	5073
22	48	3	6446
3	111	0	27667
27	85	1	4920
2	109	0	29440
213	66	0	4883
22	72	1	6191
1	120	0	5731
33	43	0	6211
14	75	7	6391
23	116	5	7048
18	65	5	4549
341	65	0	4840
26	119	5	6213
25	48	0	7120
1	108	5	23049
21	115	5	8401
