397	83	0	4205
21	115	4	4978
2	62	0	6742
62	119	5	21421
62	121	10	8937
44	83	0	28021
55	88	0	6462
7	126	9	5351
45	69	0	5271
5	91	0	12770
18	87	0	13176
195	113	5	7516
39	82	0	15913
8	121	0	5005
28	54	0	21706
80	102	0	4730
246	114	0	5255
23	89	0	4890
67	117	0	7870
51	97	0	9928
34	88	0	4728
76	71	0	6088
250	128	0	17120
53	68	0	16555
23	89	0	6669
412	120	0	4289
291	73	0	28984
61	79	7	12917
457	109	4	22492
14	118	10	5404
40	119	0	5130
48	54	0	31727
73	70	0	4904
16	64	9	18601
