3	52	7	4312
32	101	0	4592
3	82	0	4312
5	49	0	18196
254	97	0	6590
29	61	3	19913
3	81	0	3845
235	57	1	3446
2	125	5	25448
23	77	6	3346
13	115	1	4385
199	110	0	4784
61	65	0	5248
69	69	6	4338
343	64	1	8142
34	65	0	5439
38	54	0	17417
40	126	0	20773
303	48	0	29534
3	108	0	5391
39	78	8	8075
53	62	0	5440
53	75	10	5170
70	78	0	22265
38	50	0	5062
52	81	9	26299
15	102	0	6279
217	125	0	21890
332	50	0	4658
69	99	0	4628
47	100	0	6367
58	118	5	4376
22	120	0	5554
59	87	6	4534
2	84	0	4647
5	86	0	25884
